,Player Name,ClientPlayerID
0,Mohammad Shami,94
1,Mohit Sharma,1107
2,Rashid Khan,2885
3,Piyush Chawla,76
4,Yuzvendra Chahal,111
5,Tushar Deshpande,3257
6,Ravindra Jadeja,9
7,Varun Chakaravarthy,5432
8,Mohammed Siraj,3840
9,Matheesha Pathirana,20627
10,Arshdeep Singh,4698
11,Ravi Bishnoi,19351
12,Noor Ahmad,20590
13,Bhuvneshwar Kumar,116
14,Ravichandran Ashwin,8
15,Akash Madhwal,20681
16,Jason Behrendorff,937
17,Harshal Patel,157
18,Trent Boult,969
19,Deepak Chahar,140
20,Nathan Ellis,17118
21,Yash Thakur,5624
22,Mayank Markande,4951
23,Mitchell Marsh,221
24,Axar Patel,1113
25,Naveen-Ul-Haq,5681
26,Sunil Narine,203
27,Maheesh Theekshana,20570
28,Mark Wood,2749
29,Kuldeep Yadav,261
30,Suyash Sharma,5668
31,Ishant Sharma,38
32,Sandeep Sharma,1112
33,Anrich Nortje,5433
34,T Natarajan,3831
35,Marco Jansen,17068
36,Sam Curran,2939
37,Karn Sharma,1118
38,Krunal Pandya,3183
39,Moeen Ali,1735
40,Harpreet Brar,5441
41,Wanindu Hasaranga,3082
42,Khaleel Ahmed,2964
43,Wayne Parnell,223
44,Vyshak Vijaykumar,1097
45,Rahul Chahar,3763
46,Adam Zampa,958
47,Avesh Khan,1561
48,Amit Mishra,30
49,Josh Little,5683
50,Alzarri Joseph,3098
51,Kagiso Rabada,1664
52,Shardul Thakur,1745
53,Mukesh Kumar,5622
54,Riley Meredith,4055
55,Andre Russell,177
56,Michael Bracewell,1465
57,Cameron Green,5602
58,Harshit Rana,20626
59,Kumar Kartikeya Singh,20629
60,Vaibhav Arora,14859
61,Marcus Stoinis,964
62,Akash Singh,12585
63,Umran Malik,15154
64,Arshad Khan,20599
65,Fazalhaq Farooqi,20610
66,Jason Holder,1075
67,Mitchell Santner,1903
68,David Willey,2758
69,Krishnappa Gowtham,3834
70,Anukul Roy,3774
71,Washington Sundar,2973
72,Josh Hazlewood,857
73,Nitish Rana,2738
74,Yudhvir Singh,10842
75,Glenn Maxwell,282
76,Hardik Pandya,2740
77,Arjun Tendulkar,10244
78,Hrithik Shokeen,20598
79,Asif K M,4944
80,Sikandar Raza,5603
81,Rajvardhan Hangargekar,20571
82,Mohsin Khan,4952
83,Chris Jordan,1299
84,Chetan Sakariya,11062
85,Navdeep Saini,3824
86,Adil Rashid,796
87,Lalit Yadav,6870
88,Jofra Archer,3502
89,Kuldip Yadav,12480
90,Abhishek Sharma,3760
91,Yash Dayal,20591
92,Tim Southee,307
93,Liam Livingstone,3644
94,Kulwant Khejroliya,3835
95,Praveen Dubey,3188
96,Glenn Phillips,3027
97,Tristan Stubbs,20631
98,Reece Topley,5607
99,Mayank Dagar,2968
100,Sisanda Magala,745
101,Rishi Dhawan,1088
