name,country,howstatid,iccid,role
Arshdeep Singh,IND,4933,4698,bowler
Ravichandran Ashwin,IND,3788,8,allrounder
Jasprit Bumrah,IND,4062,1124,bowler
Yuzvendra Chahal,IND,4063,111,bowler
Deepak Chahar,IND,4557,140,bowler
Shikhar Dhawan,IND,3832,41,batsman
Ruturaj Gaikwad,IND,4931,5443,batsman
Deepak Hooda,IND,4404,,batsman
Ishan Kishan,IND,4544,-1,batsman
Shreyas Iyer,IND,4387,1563,batsman
Ravindra Jadeja,IND,3644,9,allrounder
Virat Kohli,IND,3600,164,batsman
Kuldeep Yadav,IND,4652,261,bowler
Mohammed Shami,IND,3993,-1,bowler
Mohammed Siraj,IND,4675,3840,batsman
Mukesh Kumar,IND,7228,-1,bowler
Hardik Pandya,IND,4399,2740,allrounder
Rishabh Pant,IND,4542,,batsman
Axar Patel,IND,4310,,allrounder
Prasidh Krishna,IND,4930,-1,bowler
KL Rahul,IND,4137,,batsman
Sanju Samson,IND,4099,,batsman
Kuldeep Sen,IND,6544,,Bowler
Shahbaz Ahmed,IND,5861,-1,allrounder
Rohit Sharma,IND,3474,107,bowler
Shubman Gill,IND,4769,3761,batsman
Shardul Thakur,IND,4393,1745,bowler
Tilak Varma,IND,6522,-1,batsman
Umran Malik,IND,6204,-1,bowler
Jaydev Unadkat,IND,3838,-1,bowler
Washington Sundar,IND,4684,-1,bowler
Suryakumar Yadav,IND,4073,108,allrounder
Srikar Bharat,IND,4384,-1,batsman
Yashasvi Jaiswal,IND,5857,-1,batsman
Cheteshwar Pujara,IND,3826,,batsman
Ajinkya Rahane,IND,3889,-1,batsman
Umesh Yadav,IND,3786,,bowler
Avesh Khan,IND,4673,-1,bowler
Shivam Dube,IND,4945,-1,batsman
Bhuvneshwar Kumar,IND,3991,116,bowler
Harshal Patel,IND,4125,-1,bowler
Ravi Bishnoi,IND,5851,19351,bowler
Sai Kishore,IND,5846,-1,bowler
Jitesh Sharma,IND,4554,,batsman
Shivam Mavi,IND,4768,,bowler
Rinku Singh,IND,4665,-1,batsman
Rahul Tripathi,IND,4679,,batsman
Abdul Malik,AFG,5946,-1,batsman
Abdul Rahman,AFG,7367,-1,bowler
Afsar Zazai,AFG,4245,-1,batsman
Amir Hamza,AFG,3935,,allrounder
Azmatullah Omarzai,AFG,5936,5134,allrounder
Bahir Shah,AFG,7322,-1,batsman
Fareed Ahmad,AFG,4363,-1,bowler
Fazalhaq Farooqi,AFG,5955,19231,bowler
Gulbadin Naib,AFG,3877,613,allrounder
Hashmatullah Shahidi,AFG,4239,-1,batsman
Hazratullah Zazai,AFG,4615,5134,batsman
Ibrahim Zadran,AFG,5471,-1,batsman
Ikram Alikhil,AFG,4928,-1,batsman
Karim Janat,AFG,4611,2901,bowler
Mohammad Nabi,AFG,3665,618,allrounder
Mohammad Saleem,AFG,7353,-1,bowler
Mohammad Shahzad,AFG,3728,-1,batsman
Mujeeb Ur Rahman,AFG,4714,4572,bowler
Najibullah Zadran,AFG,3960,620,batsman
Nasir Jamal,AFG,4315,-1,batsman
Naveen-ul-Haq,AFG,4590,,Bowler
Nijat Masood,AFG,6641,2905,Bowler
Noor Ahmad,AFG,6536,-1,Bowler
Noor Ali Zadran,AFG,3663,-1,batsman
Qais Ahmad,AFG,5472,-1,Bowler
Rahmanullah Gurbaz,AFG,5474,17115,batsman
Rahmat Shah,AFG,4009,-1,allrounder
Rashid Khan,AFG,4484,-1,allrounder
Riaz Hassan,AFG,6469,-1,batsman
Sediqullah Atal,AFG,7195,-1,batsman
Shahidullah,AFG,3730,-1,allrounder
Sharafuddin Ashraf,AFG,4313,-1,allrounder
Usman Ghani,AFG,4300,-1,batsman
