name,country,howstatid,iccid,role
Arshdeep Singh,IND,,,
Ravichandran Ashwin,IND,,,
Jasprit Bumrah,IND,,,
Yuzvendra Chahal,IND,,,
Deepak Chahar,IND,,,
Shikhar Dhawan,IND,,,
Ruturaj Gaikwad,IND,,,
Deepak Hooda,IND,,,
Ishan Kishan,IND,,,
Shreyas Iyer,IND,,,
Ravindra Jadeja,IND,,,
Virat Kohli,IND,,,
Kuldeep Yadav,IND,,,
Mohammed Shami,IND,,,
Mohammed Siraj,IND,,,
Mukesh Kumar,IND,,,
Hardik Pandya,IND,,,
Rishabh Pant,IND,,,
Axar Patel,IND,,,
Prasidh Krishna,IND,,,
KL Rahul,IND,,,
Sanju Samson,IND,,,
Kuldeep Sen,IND,,,
Shahbaz Ahmed,IND,,,
Rohit Sharma,IND,,,
Shubman Gill,IND,,,
Shardul Thakur,IND,,,
Tilak Varma,IND,,,
Umran Malik,IND,,,
Jaydev Unadkat,IND,,,
Washington Sundar,IND,,,
Suryakumar Yadav,IND,,,
Srikar Bharat,IND,,,
Yashasvi Jaiswal,IND,,,
Cheteshwar Pujara,IND,,,
Ajinkya Rahane,IND,,,
Umesh Yadav,IND,,,
Avesh Khan,IND,,,
Shivam Dube,IND,,,
Bhuvneshwar Kumar,IND,,,
Harshal Patel,IND,,,
Ravi Bishnoi,IND,,,
Sai Kishore,IND,,,
Jitesh Sharma,IND,,,
Shivam Mavi,IND,,,
Rinku Singh,IND,,,
Rahul Tripathi,IND,,,
Abdul Malik,AFG,,,
Abdul Rahman,AFG,,,
Afsar Zazai,AFG,,,
Amir Hamza,AFG,,,
Azmatullah Omarzai,AFG,,,
Bahir Shah,AFG,,,
Fareed Ahmad,AFG,,,
Fazalhaq Farooqi,AFG,,,
Gulbadin Naib,AFG,,,
Hashmatullah Shahidi,AFG,,,
Hazratullah Zazai,AFG,,,
Ibrahim Zadran,AFG,,,
Ikram Alikhil,AFG,,,
Karim Janat,AFG,,,
Mohammad Nabi,AFG,,,
Mohammad Saleem,AFG,,,
Mohammad Shahzad,AFG,,,
Mujeeb Ur Rahman,AFG,,,
Najibullah Zadran,AFG,,,
Nasir Jamal,AFG,,,
Naveen-ul-Haq,AFG,,,
Nijat Masood,AFG,,,
Noor Ahmad,AFG,,,
Noor Ali Zadran,AFG,,,
Qais Ahmad,AFG,,,
Rahmanullah Gurbaz,AFG,,,
Rahmat Shah,AFG,,,
Rashid Khan,AFG,,,
Riaz Hassan,AFG,,,
Sediqullah Atal,AFG,,,
Shahidullah,AFG,,,
Sharafuddin Ashraf,AFG,,,
Usman Ghani,AFG,,,
Wafadar Momand,AFG,,,
Yamin Ahmadzai,AFG,,,
Zahir Khan,AFG,,,
Zia-ur-Rehman,AFG,,,
Zubaid Akbari,AFG,,,
Ashton Agar,AUS,,,
Scott Boland,AUS,,,
Alex Carey,AUS,,,
Pat Cummins,AUS,,,
Cameron Green,AUS,,,
Peter Handscomb,AUS,,,
Josh Hazlewood,AUS,,,
Travis Head,AUS,,,
Usman Khawaja,AUS,,,
Matthew Kuhnemann,AUS,,,
Marnus Labuschagne,AUS,,,
Nathan Lyon,AUS,,,
Mitchell Marsh,AUS,,,
Todd Murphy,AUS,,,
Michael Neser,AUS,,,
Matt Renshaw,AUS,,,
Steven Smith,AUS,,,
Mitchell Starc,AUS,,,
David Warner,AUS,,,
Sean Abbott,AUS,,,
Tim David,AUS,,,
Nathan Ellis,AUS,,,
Aaron Hardie,AUS,,,
Josh Inglis,AUS,,,
Spencer Johnson,AUS,,,
Glenn Maxwell,AUS,,,
Tanveer Sangha,AUS,,,
Matthew Short,AUS,,,
Marcus Stoinis,AUS,,,
Adam Zampa,AUS,,,
Jason Behrendorff,AUS,,,
Ashton Turner,AUS,,,
Ebadot Hossain,BAN,,,
Khaled Ahmed,BAN,,,
Litton Das,BAN,,,
Mahmudul Hasan Joy,BAN,,,
Mehidy Hasan Miraz,BAN,,,
Mominul Haque,BAN,,,
Mushfiqur Rahim,BAN,,,
Najmul Hossain Shanto,BAN,,,
Nurul Hasan,BAN,,,
Shakib Al Hasan,BAN,,,
Shoriful Islam,BAN,,,
Taijul Islam,BAN,,,
Tamim Iqbal,BAN,,,
Taskin Ahmed,BAN,,,
Yasir Ali,BAN,,,
Zakir Hasan,BAN,,,
Afif Hossain,BAN,,,
Anamul Haque,BAN,,,
Hasan Mahmud,BAN,,,
Mahedi Hasan,BAN,,,
Mahmudullah,BAN,,,
Mohammad Naim,BAN,,,
Mrittunjoy Chowdhury,BAN,,,
Mustafizur Rahman,BAN,,,
Nasum Ahmed,BAN,,,
Rony Talukdar,BAN,,,
Shamim Hossain,BAN,,,
Soumya Sarkar,BAN,,,
Tanzid Hasan,BAN,,,
Tanzim Hasan Sakib,BAN,,,
Towhid Hridoy,BAN,,,
Hasan Murad,BAN,,,
Jaker Ali,BAN,,,
"Mondol, R",BAN,,,
Mosaddek Hossain,BAN,,,
Parvez Hossain Emon,BAN,,,
Rakibul Hasan,BAN,,,
Rishad Hossain,BAN,,,
Saif Hassan,BAN,,,
Shahadat Hossain,BAN,,,
Sumon Khan,BAN,,,
Tanvir Islam,BAN,,,
Moeen Ali,ENG,,,
James Anderson,ENG,,,
Jonny Bairstow,ENG,,,
Stuart Broad,ENG,,,
Harry Brook,ENG,,,
Zak Crawley,ENG,,,
Ben Duckett,ENG,,,
Ben Foakes,ENG,,,
Will Jacks,ENG,,,
Jack Leach,ENG,,,
Liam Livingstone,ENG,,,
Ollie Pope,ENG,,,
Matthew Potts,ENG,,,
Rehan Ahmed,ENG,,,
Ollie Robinson,ENG,,,
Joe Root,ENG,,,
Ben Stokes,ENG,,,
Josh Tongue,ENG,,,
Chris Woakes,ENG,,,
Mark Wood,ENG,,,
Jofra Archer,ENG,,,
Gus Atkinson,ENG,,,
Sam Billings,ENG,,,
Jos Buttler,ENG,,,
Brydon Carse,ENG,,,
Sam Curran,ENG,,,
Liam Dawson,ENG,,,
Sam Hain,ENG,,,
Tom Hartley,ENG,,,
Chris Jordan,ENG,,,
Saqib Mahmood,ENG,,,
Dawid Malan,ENG,,,
Adil Rashid,ENG,,,
Jason Roy,ENG,,,
Phil Salt,ENG,,,
George Scrimshaw,ENG,,,
Jamie Smith,ENG,,,
Olly Stone,ENG,,,
Reece Topley,ENG,,,
James Vince,ENG,,,
David Willey,ENG,,,
Luke Wood,ENG,,,
Alex Hales,ENG,,,
